City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hualmay,PE,74.3,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
6,Hobart,AU,70.05,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
10,Butaritari,KI,81.61,broken clouds,3.0707,172.7902,Isles Sunset Lodge
13,Lorengau,PG,81.0,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Bengkulu,ID,75.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
18,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
23,Namibe,AO,73.76,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
30,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
36,Manadhoo,MV,80.89,few clouds,5.7667,73.3833,Bon Abri maldives
37,Bilma,NE,78.22,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
40,Rikitea,PF,79.93,light rain,-23.1203,-134.9692,People ThankYou
43,Manaure,CO,82.51,overcast clouds,11.7751,-72.4445,Hotel Palaaima
44,Guane,CU,79.02,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
46,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
47,Gizo,SB,82.44,overcast clouds,-8.103,156.8419,Imagination Island
49,Kavieng,PG,81.12,light rain,-2.5744,150.7967,Nusa Island Retreat
51,Atuona,PF,78.46,light rain,-9.8,-139.0333,Villa Enata
55,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Sibolga,ID,75.31,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
59,Harper,LR,80.01,broken clouds,4.375,-7.7169,Screensaver
60,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
62,Dembi Dolo,ET,70.74,broken clouds,8.5333,34.8,Dembi dollo plaza
66,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
70,Isangel,VU,84.31,few clouds,-19.55,169.2667,Tanna Lodge
74,San Rafael,AR,78.64,clear sky,-34.6177,-68.3301,Hotel San Rafael
75,Nampicuan,PH,74.26,scattered clouds,15.7314,120.625,La Romana Countryside Haven
78,Lazaro Cardenas,MX,81.95,clear sky,17.9583,-102.2,quinta antigua
79,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
82,Santa Maria,BR,83.5,clear sky,-29.6842,-53.8069,Hotel Morotin
85,Sao Filipe,CV,72.63,clear sky,14.8961,-24.4956,Hotel Xaguate
92,Dingle,PH,76.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
98,Madarounfa,NE,82.54,overcast clouds,13.3087,7.156,Madarounfa centre ville
100,Toowoomba,AU,72.25,broken clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
106,Angicos,BR,82.0,light rain,-5.6656,-36.6011,Pousada Vovó Haidê
107,Hithadhoo,MV,82.04,broken clouds,-0.6,73.0833,Scoop Guest House
108,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
111,Porto Novo,BJ,82.22,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
