City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Chelno-Vershiny,RU,54.4333,51.1,24.91,91,100,11.12,light snow
Husavik,IS,66.0449,-17.3389,37.31,84,14,12.71,few clouds
Hualmay,PE,-11.0964,-77.6139,74.3,73,100,5.88,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,28.56,96,100,13.8,snow
Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,33.38,broken clouds
Sisimiut,GL,66.9395,-53.6735,14.52,82,100,8.63,overcast clouds
Hobart,AU,-42.8794,147.3294,70.05,79,0,6.91,clear sky
Katsuura,JP,35.1333,140.3,45.1,63,6,17.43,clear sky
Goure,NE,13.9835,10.2704,77.23,11,100,5.01,overcast clouds
Upernavik,GL,72.7868,-56.1549,-10.07,98,63,7.11,broken clouds
Butaritari,KI,3.0707,172.7902,81.61,76,66,14.0,broken clouds
Lumby,CA,50.2498,-118.969,46.17,61,99,3.44,overcast clouds
Yumen,CN,40.2833,97.2,34.11,34,2,9.08,clear sky
Lorengau,PG,-2.0226,147.2712,81.0,79,100,2.93,heavy intensity rain
Kruisfontein,ZA,-34.0033,24.7314,58.89,81,3,4.97,clear sky
Bengkulu,ID,-3.8004,102.2655,75.97,88,98,4.52,overcast clouds
Lompoc,US,34.6391,-120.4579,68.09,79,100,18.99,mist
Narsaq,GL,60.9167,-46.05,30.42,78,100,8.34,overcast clouds
Kapaa,US,22.0752,-159.319,73.72,72,100,16.11,light rain
Raga,SS,8.4596,25.678,79.09,24,19,0.54,few clouds
Male,MV,4.1748,73.5089,80.55,78,75,3.44,broken clouds
New Norfolk,AU,-42.7826,147.0587,69.71,62,100,1.01,overcast clouds
Luderitz,NA,-26.6481,15.1594,66.29,70,1,20.51,clear sky
Namibe,AO,-15.1961,12.1522,73.76,66,74,8.95,broken clouds
Omaruru,NA,-21.4333,15.9333,61.43,43,0,3.89,clear sky
Seoul,KR,37.5683,126.9778,35.11,39,0,10.36,clear sky
Yellowknife,CA,62.456,-114.3525,17.42,90,75,5.75,light snow
Fortuna,US,40.5982,-124.1573,52.2,64,75,13.8,broken clouds
Lasa,IT,46.6166,10.7002,31.08,86,42,2.55,scattered clouds
Bethel,US,41.3712,-73.414,36.0,42,0,10.36,clear sky
Georgetown,MY,5.4112,100.3354,78.73,93,20,4.61,few clouds
Ribeira Grande,PT,38.5167,-28.7,61.93,93,44,7.61,scattered clouds
Iqaluit,CA,63.7506,-68.5145,-11.31,69,20,4.61,few clouds
Provideniya,RU,64.3833,-173.3,21.36,79,100,13.42,overcast clouds
Talnakh,RU,69.4865,88.3972,-23.8,95,9,1.16,clear sky
Bredasdorp,ZA,-34.5322,20.0403,61.92,88,11,3.44,few clouds
Manadhoo,MV,5.7667,73.3833,80.89,68,16,3.27,few clouds
Bilma,NE,18.6853,12.9164,78.22,10,100,5.88,overcast clouds
Mataura,NZ,-46.1927,168.8643,64.47,58,91,2.8,overcast clouds
Saint George,US,37.1041,-113.5841,61.39,21,20,10.36,few clouds
Rikitea,PF,-23.1203,-134.9692,79.93,73,69,20.51,light rain
Kosh-Agach,RU,50.0,88.6667,-5.13,91,99,2.06,overcast clouds
Busselton,AU,-33.65,115.3333,59.04,83,0,10.49,clear sky
Manaure,CO,11.7751,-72.4445,82.51,69,99,17.16,overcast clouds
Guane,CU,22.2025,-84.0875,79.02,56,37,3.94,scattered clouds
Vila,PT,42.0304,-8.1588,37.33,84,95,2.64,overcast clouds
Hilo,US,19.7297,-155.09,80.33,70,0,10.36,clear sky
Gizo,SB,-8.103,156.8419,82.44,76,100,9.69,overcast clouds
Klaksvik,FO,62.2266,-6.589,38.32,71,13,20.96,few clouds
Kavieng,PG,-2.5744,150.7967,81.12,79,100,10.83,light rain
Yeniseysk,RU,58.4497,92.1703,22.26,94,100,9.08,light snow
Atuona,PF,-9.8,-139.0333,78.46,78,28,18.52,light rain
Bluff,NZ,-46.6,168.3333,64.8,74,98,4.23,overcast clouds
Jamestown,US,42.097,-79.2353,36.72,30,0,10.36,clear sky
Ushuaia,AR,-54.8,-68.3,47.86,81,75,18.41,light intensity drizzle
Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,93,7.0,overcast clouds
Sibolga,ID,1.7427,98.7792,75.31,86,98,3.22,overcast clouds
Tiksi,RU,71.6872,128.8694,-21.8,99,90,4.09,overcast clouds
Port Alfred,ZA,-33.5906,26.891,67.08,84,42,5.75,scattered clouds
Harper,LR,4.375,-7.7169,80.01,86,61,8.1,broken clouds
Bathsheba,BB,13.2167,-59.5167,79.41,69,20,19.57,few clouds
Ulan-Ude,RU,51.8261,107.6098,-7.15,83,20,0.0,few clouds
Dembi Dolo,ET,8.5333,34.8,70.74,35,68,1.48,broken clouds
Kozhva,RU,65.1073,57.0459,-14.3,96,33,8.9,scattered clouds
Albany,US,42.6001,-73.9662,30.22,49,51,4.36,broken clouds
Tolaga Bay,NZ,-38.3667,178.3,66.63,62,79,5.79,broken clouds
Kloulklubed,PW,7.0419,134.2556,77.5,79,100,7.96,overcast clouds
Venancio Aires,BR,-29.6064,-52.1919,86.83,48,53,7.43,broken clouds
Muroto,JP,33.2833,134.15,37.44,71,0,11.65,clear sky
Te Anau,NZ,-45.4167,167.7167,65.79,48,100,2.91,overcast clouds
Isangel,VU,-19.55,169.2667,84.31,84,20,2.3,few clouds
Riyadh,SA,24.6877,46.7219,60.94,31,78,10.74,broken clouds
Broken Hill,AU,-31.95,141.4333,64.11,68,40,19.57,scattered clouds
Kamenka,RU,51.3223,42.7678,31.75,97,100,14.38,light snow
San Rafael,AR,-34.6177,-68.3301,78.64,35,2,7.11,clear sky
Nampicuan,PH,15.7314,120.625,74.26,84,32,5.17,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,60.06,68,48,4.7,scattered clouds
Hermanus,ZA,-34.4187,19.2345,61.81,87,3,8.72,clear sky
Lazaro Cardenas,MX,17.9583,-102.2,81.95,57,0,11.68,clear sky
Vaini,TO,-21.2,-175.2,82.56,89,75,4.61,broken clouds
Synya,RU,65.3718,58.0387,-15.77,97,45,7.27,scattered clouds
Kenai,US,60.5544,-151.2583,43.03,60,100,5.75,overcast clouds
Santa Maria,BR,-29.6842,-53.8069,83.5,74,0,4.61,clear sky
Leningradskiy,RU,69.3833,178.4167,-5.64,94,100,5.23,overcast clouds
Nyurba,RU,63.2842,118.3319,-7.15,100,100,0.18,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,72.63,66,0,15.75,clear sky
Esperance,AU,-33.8667,121.9,62.44,73,84,6.46,broken clouds
San Cristobal,VE,7.7669,-72.225,69.98,87,97,4.12,overcast clouds
Rawah,IQ,34.4816,41.9093,50.81,34,0,5.61,clear sky
Tuma,RU,55.148,40.5537,27.64,86,100,11.21,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-27.35,100,97,2.62,overcast clouds
Lagoa,PT,39.05,-27.9833,60.67,93,93,10.69,overcast clouds
Dingle,PH,10.9995,122.6711,76.26,89,90,7.18,overcast clouds
Vardo,NO,70.3705,31.1107,22.75,82,97,12.88,overcast clouds
Chupa,RU,66.27,33.0549,0.46,100,85,2.3,overcast clouds
Pittsburg,US,38.028,-121.8847,66.49,50,0,18.41,clear sky
Laguna,US,38.421,-121.4238,66.49,59,40,14.97,scattered clouds
Thinadhoo,MV,0.5333,72.9333,81.68,72,86,5.28,overcast clouds
Madarounfa,NE,13.3087,7.156,82.54,9,100,7.11,overcast clouds
Talcahuano,CL,-36.7167,-73.1167,65.88,48,0,20.71,clear sky
Toowoomba,AU,-27.55,151.9667,72.25,76,52,3.0,broken clouds
Half Moon Bay,US,37.4636,-122.4286,63.18,67,20,34.52,haze
La Ronge,CA,55.1001,-105.2842,14.25,37,100,6.91,overcast clouds
Rokytne,UA,51.2796,27.214,31.23,80,100,7.47,overcast clouds
Healesville,AU,-37.65,145.5167,64.74,99,100,0.76,light rain
Brest,BY,52.1,23.7,31.93,77,77,7.78,broken clouds
Angicos,BR,-5.6656,-36.6011,82.0,63,81,14.43,light rain
Hithadhoo,MV,-0.6,73.0833,82.04,69,64,5.17,broken clouds
Yulara,AU,-25.2406,130.9889,76.84,47,98,14.97,overcast clouds
Aklavik,CA,68.2191,-135.0107,23.83,85,27,4.41,scattered clouds
Okhotsk,RU,59.3833,143.3,5.9,82,100,15.17,overcast clouds
Porto Novo,BJ,6.4965,2.6036,82.22,81,100,8.9,moderate rain
Scarborough,GB,54.2797,-0.4044,42.08,90,100,5.99,overcast clouds
San Patricio,US,28.017,-97.5169,81.28,63,46,17.72,scattered clouds
Bilibino,RU,68.0546,166.4372,-11.51,96,57,2.75,broken clouds
Port Shepstone,ZA,-30.7414,30.455,73.94,86,100,18.95,light rain
Chengde,CN,40.9725,117.9361,23.86,29,0,12.84,clear sky
Kaitangata,NZ,-46.2817,169.8464,64.4,63,100,2.42,overcast clouds
Eseka,CM,3.65,10.7667,72.14,93,72,1.61,broken clouds
Nikolskoye,RU,59.7035,30.7861,23.79,97,100,4.09,overcast clouds
Sitka,US,57.0531,-135.33,40.89,65,20,4.61,few clouds
Kiunga,PG,-6.1219,141.2906,74.77,99,100,1.03,light rain
Marsh Harbour,BS,26.5412,-77.0636,73.87,64,4,21.45,clear sky
Lebu,CL,-37.6167,-73.65,58.14,67,3,17.96,clear sky
Bara,NG,10.3744,10.7288,78.28,9,79,1.25,broken clouds
Araouane,ML,18.9048,-3.5265,66.94,9,92,9.06,overcast clouds
Barrow,US,71.2906,-156.7887,10.42,72,100,11.5,overcast clouds
Tres Lagoas,BR,-20.7511,-51.6783,77.94,67,91,3.91,overcast clouds
Americus,US,32.0724,-84.2327,86.95,14,0,5.75,clear sky
Chuy,UY,-33.6971,-53.4616,72.3,87,71,9.24,broken clouds
Vermillion,US,42.7794,-96.9292,60.26,36,87,16.22,overcast clouds
Kodiak,US,57.79,-152.4072,44.11,53,0,9.22,clear sky
Castro,BR,-24.7911,-50.0119,66.45,88,72,1.9,moderate rain
Fort Thomas,US,39.0751,-84.4472,53.22,37,0,8.05,clear sky
Trairi,BR,-3.2778,-39.2689,79.81,79,98,9.64,overcast clouds
Portland,US,45.5234,-122.6762,53.42,72,40,8.01,scattered clouds
Glyadyanskoye,RU,54.9075,65.0883,12.11,95,100,4.21,overcast clouds
Diffa,NE,13.3154,12.6113,81.41,8,84,6.11,broken clouds
Coihaique,CL,-45.5752,-72.0662,53.55,47,40,5.75,scattered clouds
