City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fayaoue,NC,2022-03-01 02:11:40,-20.65,166.5333,82.8,84,96,27.22
1,Ilulissat,GL,2022-03-01 02:11:40,69.2167,-51.1,7.79,57,65,11.3
2,Havre-Saint-Pierre,CA,2022-03-01 02:09:41,50.2334,-63.5986,-6.14,90,6,8.97
3,Georgetown,MY,2022-03-01 02:08:05,5.4112,100.3354,78.75,80,95,4.68
4,Garowe,SO,2022-03-01 02:11:41,8.4054,48.4845,65.7,87,94,10.6
5,Leningradskiy,RU,2022-03-01 02:11:41,69.3833,178.4167,17.38,74,49,9.82
6,Mar Del Plata,AR,2022-03-01 02:08:50,-38.0023,-57.5575,55.85,52,5,10.76
7,Jamestown,US,2022-03-01 02:09:03,42.097,-79.2353,25.61,83,100,3.8
8,Wenling,CN,2022-03-01 02:11:41,28.3669,121.36,61.05,82,61,8.88
9,Chokurdakh,RU,2022-03-01 02:11:42,70.6333,147.9167,-7.91,98,97,4.56
10,Vao,NC,2022-03-01 02:11:42,-22.6667,167.4833,79.95,88,100,17.11
11,Hilo,US,2022-03-01 02:08:39,19.7297,-155.09,76.8,74,43,10.76
12,Busselton,AU,2022-03-01 02:11:43,-33.65,115.3333,74.43,66,65,11.77
13,Cayenne,GF,2022-03-01 02:11:43,4.9333,-52.3333,76.14,91,100,7.25
14,Rikitea,PF,2022-03-01 02:11:43,-23.1203,-134.9692,79.32,67,84,1.19
15,Kapaa,US,2022-03-01 02:07:08,22.0752,-159.319,80.58,75,20,11.5
16,Vilyuysk,RU,2022-03-01 02:11:44,63.7553,121.6247,-6.39,100,100,2.86
17,Erenhot,CN,2022-03-01 02:11:44,43.6475,111.9767,20.55,71,2,16.69
18,Mataura,NZ,2022-03-01 02:11:44,-46.1927,168.8643,57.47,89,100,5.35
19,Winnemucca,US,2022-03-01 02:11:45,40.973,-117.7357,53.65,32,0,4.61
20,Shenavan,AM,2022-03-01 02:11:45,40.0549,43.9288,39.9,63,71,1.99
21,Uyemskiy,RU,2022-03-01 02:11:45,64.4743,40.8524,13.91,98,56,3.22
22,Sabha,LY,2022-03-01 02:11:46,27.0377,14.4283,64.42,19,55,11.25
23,Laguna,US,2022-03-01 02:05:21,38.421,-121.4238,60.6,66,48,0.83
24,Ushuaia,AR,2022-03-01 02:10:56,-54.8,-68.3,41.36,95,100,5.91
25,Avarua,CK,2022-03-01 02:11:46,-21.2078,-159.775,84.25,79,99,5.75
26,Beringovskiy,RU,2022-03-01 02:11:46,63.05,179.3167,23.29,97,100,10.09
27,Hobart,AU,2022-03-01 02:10:19,-42.8794,147.3294,74.01,76,75,12.66
28,Hibbing,US,2022-03-01 02:11:47,47.4272,-92.9377,19.69,98,95,2.01
29,Jinchang,CN,2022-03-01 02:11:47,38.4953,102.1739,30.33,25,4,3.49
30,Airai,TL,2022-03-01 02:11:48,-8.9266,125.4092,73.24,57,36,4.32
31,Punta Arenas,CL,2022-03-01 02:11:48,-53.15,-70.9167,45.7,82,100,17.76
32,Port Elizabeth,ZA,2022-03-01 02:06:32,-33.918,25.5701,67.1,93,52,5.48
33,Tuktoyaktuk,CA,2022-03-01 02:11:48,69.4541,-133.0374,-6.92,87,4,10.98
34,Albany,US,2022-03-01 02:11:49,42.6001,-73.9662,11.19,90,57,2.28
35,Maracai,BR,2022-03-01 02:11:49,-22.6106,-50.6672,74.82,78,7,4.36
36,Ostrovnoy,RU,2022-03-01 02:11:49,68.0531,39.5131,21.74,84,100,6.4
37,Caxito,AO,2022-03-01 02:11:50,-8.5785,13.6643,81.25,89,94,2.46
38,Sioux Lookout,CA,2022-03-01 02:02:55,50.1001,-91.917,13.48,97,100,3.49
39,Lovington,US,2022-03-01 02:10:53,32.944,-103.3485,51.66,20,100,6.06
40,Tazovskiy,RU,2022-03-01 02:11:50,67.4667,78.7,18.93,96,100,4.32
41,Dwarka,IN,2022-03-01 02:11:51,22.2394,68.9678,72.61,57,0,10.54
42,Daru,PG,2022-03-01 02:11:51,-9.0763,143.2092,87.94,61,68,5.75
43,Lavrentiya,RU,2022-03-01 02:11:51,65.5833,-171.0,26.2,97,99,4.18
44,Paamiut,GL,2022-03-01 02:06:36,61.994,-49.6678,11.05,82,100,6.11
