Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Fayaoue,NC,82.8,-20.65,166.5333,Chez Dydyce Guesthouse
3,Georgetown,MY,78.75,5.4112,100.3354,Cititel Penang
4,Garowe,SO,65.7,8.4054,48.4845,Curubo Hotel
10,Vao,NC,79.95,-22.6667,167.4833,Hotel Kou-Bugny
11,Hilo,US,76.8,19.7297,-155.09,Hilo Hawaiian Hotel
12,Busselton,AU,74.43,-33.65,115.3333,Observatory Guest House
13,Cayenne,GF,76.14,4.9333,-52.3333,Hôtel Le Dronmi
14,Rikitea,PF,79.32,-23.1203,-134.9692,People ThankYou
15,Kapaa,US,80.58,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Avarua,CK,84.25,-21.2078,-159.775,Paradise Inn
27,Hobart,AU,74.01,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
30,Airai,TL,73.24,-8.9266,125.4092,
32,Port Elizabeth,ZA,67.1,-33.918,25.5701,39 On Nile Guest House
35,Maracai,BR,74.82,-22.6106,-50.6672,Hotel Maracai Pousada
37,Caxito,AO,81.25,-8.5785,13.6643,
41,Dwarka,IN,72.61,22.2394,68.9678,Hotel Narayan Avezika Comfort
42,Daru,PG,87.94,-9.0763,143.2092,Daru Lodge
46,Acandi,CO,75.4,8.5063,-77.2778,Hotel Patio Bonito
48,Thinadhoo,MV,83.39,0.5333,72.9333,
49,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
52,Vaini,TO,79.65,-21.2,-175.2,Keleti Beach Resort
56,Tura,IN,68.9,25.5198,90.2201,Hotel RIKMAN Continental
60,Bredasdorp,ZA,66.0,-34.5322,20.0403,Bredasdorp Country Manor
61,Lorengau,PG,77.77,-2.0226,147.2712,Lorengau Harbourside Hotel
62,Jaguey Grande,CU,75.85,22.5269,-81.1286,Barberia hendrix
68,Cockburn Town,TC,77.47,21.4612,-71.1419,Osprey Beach Hotel
69,Codrington,AU,68.9,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
70,Kununurra,AU,84.43,-15.7667,128.7333,Hotel Kununurra
71,Taoudenni,ML,79.29,22.6783,-3.9836,
72,Jacareacanga,BR,74.01,-6.2222,-57.7528,Casa do Ian😎
73,Isangel,VU,79.03,-19.55,169.2667,Tanna Lodge
75,Waipawa,NZ,65.93,-41.4122,175.5153,Tora Coastal Walk
76,Geraldton,AU,75.0,-28.7667,114.6,Broadwater Mariner Resort
77,Bowen,AU,87.85,-20.0167,148.2333,Castle Motor Lodge Motel
84,Boca Do Acre,BR,73.89,-8.7522,-67.3978,Hotel Sao Pedro
85,Vila Velha,BR,75.83,-20.3297,-40.2925,Hotel Vitória Palace
88,Caravelas,BR,75.74,-17.7125,-39.2481,Pousada dos Navegantes
89,San Joaquin,US,70.38,37.9333,-121.3011,University Plaza Waterfront Hotel
